term	sentiment	???
$:	-1.5	0.80623
%)	-0.4	1.0198
%-)	-1.5	1.43178
&-:	-0.4	1.42829
&:	-0.7	0.64031
( '}{' )	1.6	0.66332
(%	-0.9	0.9434
('-:	2.2	1.16619
(':	2.3	0.9
((-:	2.1	0.53852
(*	1.1	1.13578
(-%	-0.7	1.26886
(-*	1.3	1.26886
(-:	1.6	0.8
(-:0	2.8	0.87178
(-:<	-0.4	2.15407
(-:o	1.5	0.67082
(-:O	1.5	0.67082
(-:{	-0.1	1.57797
(-:|>*	1.9	0.83066
(-;	1.3	1.18743
(-;|	2.1	1.13578
(8	2.6	1.0198
(:	2.2	1.16619
(:0	2.4	1.11355
(:<	-0.2	2.03961
(:o	2.5	0.92195
(:O	2.5	0.92195
(;	1.1	1.22066
(;<	0.3	1.00499
(=	2.2	1.16619
(?:	2.1	0.83066
(^:	1.5	0.67082
(^;	1.5	0.5
(^;0	2.0	0.7746
(^;o	1.9	0.83066
(o:	1.6	0.8
)':	-2.0	0.44721
)-':	-2.1	0.53852
)-:	-2.1	0.9434
)-:<	-2.2	0.4
)-:{	-2.1	0.9434
):	-1.8	0.87178
):<	-1.9	0.53852
):{	-2.3	0.78102
);<	-2.6	0.8
*)	0.6	1.42829
*-)	0.3	1.61555
*-:	2.1	1.51327
*-;	2.4	1.62481
*:	1.9	1.04403
*<|:-)	1.6	1.28062
*\0/*	2.3	1.00499
*^:	1.6	1.42829
,-:	1.2	0.4
---'-;-{@	2.3	1.18743
--<--<@	2.2	1.249
.-:	-1.2	0.4
..###-:	-1.7	0.78102
..###:	-1.9	1.04403
/-:	-1.3	0.64031
/:	-1.3	0.45826
/:<	-1.4	0.4899
/=	-0.9	0.53852
/^:	-1.0	0.7746
/o:	-1.4	0.66332
0-8	0.1	1.44568
0-|	-1.2	0.4
0:)	1.9	1.04403
0:-)	1.4	0.91652
0:-3	1.5	0.92195
0:03	1.9	1.22066
0;^)	1.6	0.91652
0_o	-0.3	0.78102
10q	2.1	1.22066
1337	2.1	1.13578
143	3.2	0.74833
1432	2.6	0.8
14aa41	2.4	0.91652
182	-2.9	1.3
187	-3.1	1.22066
2g2b4g	2.8	0.6
2g2bt	-0.1	1.57797
2qt	2.1	0.83066
3:(	-2.2	0.87178
3:)	0.5	1.28452
3:-(	-2.3	0.78102
3:-)	-1.4	1.35647
4col	-2.2	1.16619
4q	-3.1	1.51327
5fs	1.5	1.11803
8)	1.9	0.7
8-d	1.7	0.64031
8-o	-0.3	0.78102
86	-1.6	1.0198
8d	2.9	0.53852
:###..	-2.4	0.91652
:$	-0.2	1.83303
:&	-0.6	1.0198
:'(	-2.2	0.74833
:')	2.3	0.78102
:'-(	-2.4	0.66332
:'-)	2.7	0.64031
:(	-1.9	1.13578
:)	2.0	1.18322
:*	2.5	1.0247
:-###..	-2.5	0.92195
:-&	-0.5	0.92195
:-(	-1.5	0.5
:-)	1.3	0.45826
:-))	2.8	1.07703
:-*	1.7	0.64031
:-,	1.1	0.53852
:-.	-0.9	0.53852
:-/	-1.2	0.6
:-<	-1.5	0.5
:-d	2.3	0.45826
:-D	2.3	0.45826
:-o	0.1	1.3
:-p	1.2	0.4
:-[	-1.6	0.4899
:-\	-0.9	0.3
:-c	-1.3	0.45826
:-p	1.5	0.5
:-|	-0.7	0.64031
:-||	-2.5	0.67082
:-Þ	0.9	1.04403
:/	-1.4	0.66332
:3	2.3	1.26886
